drink_name,category,brand,price_usd,alcohol_level_abv,taste_node,availability_score,place_type
Scotch 1197,spirits/cocktails,Buffalo Trace,95.0,11.0,Smoky,High,global
Cognac 1198,wine,Bulleit,95.75,12.0,Rich / Fruity,Medium,global
Vodka 1199,spirits/cocktails,Captain Morgan,96.5,13.0,Dry / Crisp,High,global
Aged Bourbon 1200,spirits/cocktails,Don Julio,97.25,14.0,Nutty / Woody,High,global
Bourbon 1201,spirits/cocktails,Jameson,8.0,15.0,Sweet,Medium,global
Rye Whiskey 1202,spirits/cocktails,Jack Daniel's,8.75,16.0,Spicy,High,global
Gin 1203,spirits/cocktails,Johnnie Walker,9.5,17.0,Citrusy / Sour,High,global
Gin 1204,spirits/cocktails,Glenfiddich,10.25,18.0,Herbal / Floral,Medium,global
Scotch 1205,spirits/cocktails,Gordon's,11.0,19.0,Smoky,High,global
Cognac 1206,wine,Tanqueray,11.75,20.0,Rich / Fruity,High,global
Vodka 1207,spirits/cocktails,Bacardi,12.5,21.0,Dry / Crisp,Medium,global
Aged Bourbon 1208,spirits/cocktails,Patron,13.25,22.0,Nutty / Woody,High,global
Bourbon 1209,spirits/cocktails,Absolut,14.0,23.0,Sweet,High,global
Rye Whiskey 1210,spirits/cocktails,Smirnoff,14.75,24.0,Spicy,Medium,global
Gin 1211,spirits/cocktails,Moet & Chandon,15.5,25.0,Citrusy / Sour,High,global
Gin 1212,spirits/cocktails,La Marca,16.25,26.0,Herbal / Floral,High,global
Scotch 1213,spirits/cocktails,Barefoot,17.0,27.0,Smoky,Medium,global
Cognac 1214,wine,Robert Mondavi,17.75,28.0,Rich / Fruity,High,global
Vodka 1215,spirits/cocktails,Kim Crawford,18.5,29.0,Dry / Crisp,High,global
Aged Bourbon 1216,spirits/cocktails,Crown Royal,19.25,30.0,Nutty / Woody,Medium,global
Bourbon 1217,spirits/cocktails,Buffalo Trace,20.0,31.0,Sweet,High,global
Rye Whiskey 1218,spirits/cocktails,Bulleit,20.75,32.0,Spicy,High,global
Gin 1219,spirits/cocktails,Captain Morgan,21.5,33.0,Citrusy / Sour,Medium,global
Gin 1220,spirits/cocktails,Don Julio,22.25,34.0,Herbal / Floral,High,global
Scotch 1221,spirits/cocktails,Jameson,23.0,35.0,Smoky,High,global
Cognac 1222,wine,Jack Daniel's,23.75,36.0,Rich / Fruity,Medium,global
Vodka 1223,spirits/cocktails,Johnnie Walker,24.5,37.0,Dry / Crisp,High,global
Aged Bourbon 1224,spirits/cocktails,Glenfiddich,25.25,38.0,Nutty / Woody,High,global
Bourbon 1225,spirits/cocktails,Gordon's,26.0,39.0,Sweet,Medium,global
Rye Whiskey 1226,spirits/cocktails,Tanqueray,26.75,5.0,Spicy,High,global
Gin 1227,spirits/cocktails,Bacardi,27.5,6.0,Citrusy / Sour,High,global
Gin 1228,spirits/cocktails,Patron,28.25,7.0,Herbal / Floral,Medium,global
Scotch 1229,spirits/cocktails,Absolut,29.0,8.0,Smoky,High,global
Cognac 1230,wine,Smirnoff,29.75,9.0,Rich / Fruity,High,global
Vodka 1231,spirits/cocktails,Moet & Chandon,30.5,10.0,Dry / Crisp,Medium,global
Aged Bourbon 1232,spirits/cocktails,La Marca,31.25,11.0,Nutty / Woody,High,global
Bourbon 1233,spirits/cocktails,Barefoot,32.0,12.0,Sweet,High,global
Rye Whiskey 1234,spirits/cocktails,Robert Mondavi,32.75,13.0,Spicy,Medium,global
Gin 1235,spirits/cocktails,Kim Crawford,33.5,14.0,Citrusy / Sour,High,global
Gin 1236,spirits/cocktails,Crown Royal,34.25,15.0,Herbal / Floral,High,global
Scotch 1237,spirits/cocktails,Buffalo Trace,35.0,16.0,Smoky,Medium,global
Cognac 1238,wine,Bulleit,35.75,17.0,Rich / Fruity,High,global
Vodka 1239,spirits/cocktails,Captain Morgan,36.5,18.0,Dry / Crisp,High,global
Aged Bourbon 1240,spirits/cocktails,Don Julio,37.25,19.0,Nutty / Woody,Medium,global
Bourbon 1241,spirits/cocktails,Jameson,38.0,20.0,Sweet,High,global
Rye Whiskey 1242,spirits/cocktails,Jack Daniel's,38.75,21.0,Spicy,High,global
Gin 1243,spirits/cocktails,Johnnie Walker,39.5,22.0,Citrusy / Sour,Medium,global
Gin 1244,spirits/cocktails,Glenfiddich,40.25,23.0,Herbal / Floral,High,global
Scotch 1245,spirits/cocktails,Gordon's,41.0,24.0,Smoky,High,global
Cognac 1246,wine,Tanqueray,41.75,25.0,Rich / Fruity,Medium,global
Vodka 1247,spirits/cocktails,Bacardi,42.5,26.0,Dry / Crisp,High,global
Aged Bourbon 1248,spirits/cocktails,Patron,43.25,27.0,Nutty / Woody,High,global
Bourbon 1249,spirits/cocktails,Absolut,44.0,28.0,Sweet,Medium,global
Rye Whiskey 1250,spirits/cocktails,Smirnoff,44.75,29.0,Spicy,High,global
Gin 1251,spirits/cocktails,Moet & Chandon,45.5,30.0,Citrusy / Sour,High,global
Gin 1252,spirits/cocktails,La Marca,46.25,31.0,Herbal / Floral,Medium,global
Scotch 1253,spirits/cocktails,Barefoot,47.0,32.0,Smoky,High,global
Cognac 1254,wine,Robert Mondavi,47.75,33.0,Rich / Fruity,High,global
Vodka 1255,spirits/cocktails,Kim Crawford,48.5,34.0,Dry / Crisp,Medium,global
Aged Bourbon 1256,spirits/cocktails,Crown Royal,49.25,35.0,Nutty / Woody,High,global
Bourbon 1257,spirits/cocktails,Buffalo Trace,50.0,36.0,Sweet,High,global
Rye Whiskey 1258,spirits/cocktails,Bulleit,50.75,37.0,Spicy,Medium,global
Gin 1259,spirits/cocktails,Captain Morgan,51.5,38.0,Citrusy / Sour,High,global
Gin 1260,spirits/cocktails,Don Julio,52.25,39.0,Herbal / Floral,High,global
Scotch 1261,spirits/cocktails,Jameson,53.0,5.0,Smoky,Medium,global
Cognac 1262,wine,Jack Daniel's,53.75,6.0,Rich / Fruity,High,global
Vodka 1263,spirits/cocktails,Johnnie Walker,54.5,7.0,Dry / Crisp,High,global
Aged Bourbon 1264,spirits/cocktails,Glenfiddich,55.25,8.0,Nutty / Woody,Medium,global
Bourbon 1265,spirits/cocktails,Gordon's,56.0,9.0,Sweet,High,global
Rye Whiskey 1266,spirits/cocktails,Tanqueray,56.75,10.0,Spicy,High,global
Gin 1267,spirits/cocktails,Bacardi,57.5,11.0,Citrusy / Sour,Medium,global
Gin 1268,spirits/cocktails,Patron,58.25,12.0,Herbal / Floral,High,global
Scotch 1269,spirits/cocktails,Absolut,59.0,13.0,Smoky,High,global
Cognac 1270,wine,Smirnoff,59.75,14.0,Rich / Fruity,Medium,global
Vodka 1271,spirits/cocktails,Moet & Chandon,60.5,15.0,Dry / Crisp,High,global
Aged Bourbon 1272,spirits/cocktails,La Marca,61.25,16.0,Nutty / Woody,High,global
Bourbon 1273,spirits/cocktails,Barefoot,62.0,17.0,Sweet,Medium,global
Rye Whiskey 1274,spirits/cocktails,Robert Mondavi,62.75,18.0,Spicy,High,global
Gin 1275,spirits/cocktails,Kim Crawford,63.5,19.0,Citrusy / Sour,High,global
Gin 1276,spirits/cocktails,Crown Royal,64.25,20.0,Herbal / Floral,Medium,global
Scotch 1277,spirits/cocktails,Buffalo Trace,65.0,21.0,Smoky,High,global
Cognac 1278,wine,Bulleit,65.75,22.0,Rich / Fruity,High,global
Vodka 1279,spirits/cocktails,Captain Morgan,66.5,23.0,Dry / Crisp,Medium,global
Aged Bourbon 1280,spirits/cocktails,Don Julio,67.25,24.0,Nutty / Woody,High,global
Bourbon 1281,spirits/cocktails,Jameson,68.0,25.0,Sweet,High,global
Rye Whiskey 1282,spirits/cocktails,Jack Daniel's,68.75,26.0,Spicy,Medium,global
Gin 1283,spirits/cocktails,Johnnie Walker,69.5,27.0,Citrusy / Sour,High,global
Gin 1284,spirits/cocktails,Glenfiddich,70.25,28.0,Herbal / Floral,High,global
Scotch 1285,spirits/cocktails,Gordon's,71.0,29.0,Smoky,Medium,global
Cognac 1286,wine,Tanqueray,71.75,30.0,Rich / Fruity,High,global
Vodka 1287,spirits/cocktails,Bacardi,72.5,31.0,Dry / Crisp,High,global
Aged Bourbon 1288,spirits/cocktails,Patron,73.25,32.0,Nutty / Woody,Medium,global
Bourbon 1289,spirits/cocktails,Absolut,74.0,33.0,Sweet,High,global
Rye Whiskey 1290,spirits/cocktails,Smirnoff,74.75,34.0,Spicy,High,global
Gin 1291,spirits/cocktails,Moet & Chandon,75.5,35.0,Citrusy / Sour,Medium,global
Gin 1292,spirits/cocktails,La Marca,76.25,36.0,Herbal / Floral,High,global
Scotch 1293,spirits/cocktails,Barefoot,77.0,37.0,Smoky,High,global
Cognac 1294,wine,Robert Mondavi,77.75,38.0,Rich / Fruity,Medium,global
Vodka 1295,spirits/cocktails,Kim Crawford,78.5,39.0,Dry / Crisp,High,global
Aged Bourbon 1296,spirits/cocktails,Crown Royal,79.25,5.0,Nutty / Woody,High,global
Bourbon 1297,spirits/cocktails,Buffalo Trace,80.0,6.0,Sweet,Medium,global
Rye Whiskey 1298,spirits/cocktails,Bulleit,80.75,7.0,Spicy,High,global
Gin 1299,spirits/cocktails,Captain Morgan,81.5,8.0,Citrusy / Sour,High,global
Gin 1300,spirits/cocktails,Don Julio,82.25,9.0,Herbal / Floral,Medium,global
Scotch 1301,spirits/cocktails,Jameson,83.0,10.0,Smoky,High,global
Cognac 1302,wine,Jack Daniel's,83.75,11.0,Rich / Fruity,High,global
Vodka 1303,spirits/cocktails,Johnnie Walker,84.5,12.0,Dry / Crisp,Medium,global
Aged Bourbon 1304,spirits/cocktails,Glenfiddich,85.25,13.0,Nutty / Woody,High,global
Bourbon 1305,spirits/cocktails,Gordon's,86.0,14.0,Sweet,High,global
Rye Whiskey 1306,spirits/cocktails,Tanqueray,86.75,15.0,Spicy,Medium,global
Gin 1307,spirits/cocktails,Bacardi,87.5,16.0,Citrusy / Sour,High,global
Gin 1308,spirits/cocktails,Patron,88.25,17.0,Herbal / Floral,High,global
Scotch 1309,spirits/cocktails,Absolut,89.0,18.0,Smoky,Medium,global
Cognac 1310,wine,Smirnoff,89.75,19.0,Rich / Fruity,High,global
Vodka 1311,spirits/cocktails,Moet & Chandon,90.5,20.0,Dry / Crisp,High,global
Aged Bourbon 1312,spirits/cocktails,La Marca,91.25,21.0,Nutty / Woody,Medium,global
Bourbon 1313,spirits/cocktails,Barefoot,92.0,22.0,Sweet,High,global
Rye Whiskey 1314,spirits/cocktails,Robert Mondavi,92.75,23.0,Spicy,High,global
Gin 1315,spirits/cocktails,Kim Crawford,93.5,24.0,Citrusy / Sour,Medium,global
Gin 1316,spirits/cocktails,Crown Royal,94.25,25.0,Herbal / Floral,High,global
Scotch 1317,spirits/cocktails,Buffalo Trace,95.0,26.0,Smoky,High,global
Cognac 1318,wine,Bulleit,95.75,27.0,Rich / Fruity,Medium,global
Vodka 1319,spirits/cocktails,Captain Morgan,96.5,28.0,Dry / Crisp,High,global
Aged Bourbon 1320,spirits/cocktails,Don Julio,97.25,29.0,Nutty / Woody,High,global
Bourbon 1321,spirits/cocktails,Jameson,8.0,30.0,Sweet,Medium,global
Rye Whiskey 1322,spirits/cocktails,Jack Daniel's,8.75,31.0,Spicy,High,global
Gin 1323,spirits/cocktails,Johnnie Walker,9.5,32.0,Citrusy / Sour,High,global
Gin 1324,spirits/cocktails,Glenfiddich,10.25,33.0,Herbal / Floral,Medium,global
Scotch 1325,spirits/cocktails,Gordon's,11.0,34.0,Smoky,High,global
Cognac 1326,wine,Tanqueray,11.75,35.0,Rich / Fruity,High,global
Vodka 1327,spirits/cocktails,Bacardi,12.5,36.0,Dry / Crisp,Medium,global
Aged Bourbon 1328,spirits/cocktails,Patron,13.25,37.0,Nutty / Woody,High,global
Bourbon 1329,spirits/cocktails,Absolut,14.0,38.0,Sweet,High,global
Rye Whiskey 1330,spirits/cocktails,Smirnoff,14.75,39.0,Spicy,Medium,global
Gin 1331,spirits/cocktails,Moet & Chandon,15.5,5.0,Citrusy / Sour,High,global
Gin 1332,spirits/cocktails,La Marca,16.25,6.0,Herbal / Floral,High,global
Scotch 1333,spirits/cocktails,Barefoot,17.0,7.0,Smoky,Medium,global
Cognac 1334,wine,Robert Mondavi,17.75,8.0,Rich / Fruity,High,global
Vodka 1335,spirits/cocktails,Kim Crawford,18.5,9.0,Dry / Crisp,High,global
Aged Bourbon 1336,spirits/cocktails,Crown Royal,19.25,10.0,Nutty / Woody,Medium,global
Bourbon 1337,spirits/cocktails,Buffalo Trace,20.0,11.0,Sweet,High,global
Rye Whiskey 1338,spirits/cocktails,Bulleit,20.75,12.0,Spicy,High,global
Gin 1339,spirits/cocktails,Captain Morgan,21.5,13.0,Citrusy / Sour,Medium,global
Gin 1340,spirits/cocktails,Don Julio,22.25,14.0,Herbal / Floral,High,global
Scotch 1341,spirits/cocktails,Jameson,23.0,15.0,Smoky,High,global
Cognac 1342,wine,Jack Daniel's,23.75,16.0,Rich / Fruity,Medium,global
Vodka 1343,spirits/cocktails,Johnnie Walker,24.5,17.0,Dry / Crisp,High,global
Aged Bourbon 1344,spirits/cocktails,Glenfiddich,25.25,18.0,Nutty / Woody,High,global
Bourbon 1345,spirits/cocktails,Gordon's,26.0,19.0,Sweet,Medium,global
Rye Whiskey 1346,spirits/cocktails,Tanqueray,26.75,20.0,Spicy,High,global
Gin 1347,spirits/cocktails,Bacardi,27.5,21.0,Citrusy / Sour,High,global
Gin 1348,spirits/cocktails,Patron,28.25,22.0,Herbal / Floral,Medium,global
Scotch 1349,spirits/cocktails,Absolut,29.0,23.0,Smoky,High,global
Cognac 1350,wine,Smirnoff,29.75,24.0,Rich / Fruity,High,global
Vodka 1351,spirits/cocktails,Moet & Chandon,30.5,25.0,Dry / Crisp,Medium,global
Aged Bourbon 1352,spirits/cocktails,La Marca,31.25,26.0,Nutty / Woody,High,global
Bourbon 1353,spirits/cocktails,Barefoot,32.0,27.0,Sweet,High,global
Rye Whiskey 1354,spirits/cocktails,Robert Mondavi,32.75,28.0,Spicy,Medium,global
Gin 1355,spirits/cocktails,Kim Crawford,33.5,29.0,Citrusy / Sour,High,global
Gin 1356,spirits/cocktails,Crown Royal,34.25,30.0,Herbal / Floral,High,global
Scotch 1357,spirits/cocktails,Buffalo Trace,35.0,31.0,Smoky,Medium,global
Cognac 1358,wine,Bulleit,35.75,32.0,Rich / Fruity,High,global
Vodka 1359,spirits/cocktails,Captain Morgan,36.5,33.0,Dry / Crisp,High,global
Aged Bourbon 1360,spirits/cocktails,Don Julio,37.25,34.0,Nutty / Woody,Medium,global
Bourbon 1361,spirits/cocktails,Jameson,38.0,35.0,Sweet,High,global
Rye Whiskey 1362,spirits/cocktails,Jack Daniel's,38.75,36.0,Spicy,High,global
Gin 1363,spirits/cocktails,Johnnie Walker,39.5,37.0,Citrusy / Sour,Medium,global
Gin 1364,spirits/cocktails,Glenfiddich,40.25,38.0,Herbal / Floral,High,global
Scotch 1365,spirits/cocktails,Gordon's,41.0,39.0,Smoky,High,global
Cognac 1366,wine,Tanqueray,41.75,5.0,Rich / Fruity,Medium,global
Vodka 1367,spirits/cocktails,Bacardi,42.5,6.0,Dry / Crisp,High,global
Aged Bourbon 1368,spirits/cocktails,Patron,43.25,7.0,Nutty / Woody,High,global
Bourbon 1369,spirits/cocktails,Absolut,44.0,8.0,Sweet,Medium,global
Rye Whiskey 1370,spirits/cocktails,Smirnoff,44.75,9.0,Spicy,High,global
Gin 1371,spirits/cocktails,Moet & Chandon,45.5,10.0,Citrusy / Sour,High,global
Gin 1372,spirits/cocktails,La Marca,46.25,11.0,Herbal / Floral,Medium,global
Scotch 1373,spirits/cocktails,Barefoot,47.0,12.0,Smoky,High,global
Cognac 1374,wine,Robert Mondavi,47.75,13.0,Rich / Fruity,High,global
Vodka 1375,spirits/cocktails,Kim Crawford,48.5,14.0,Dry / Crisp,Medium,global
Aged Bourbon 1376,spirits/cocktails,Crown Royal,49.25,15.0,Nutty / Woody,High,global
Bourbon 1377,spirits/cocktails,Buffalo Trace,50.0,16.0,Sweet,High,global
Rye Whiskey 1378,spirits/cocktails,Bulleit,50.75,17.0,Spicy,Medium,global
Gin 1379,spirits/cocktails,Captain Morgan,51.5,18.0,Citrusy / Sour,High,global
Gin 1380,spirits/cocktails,Don Julio,52.25,19.0,Herbal / Floral,High,global
Scotch 1381,spirits/cocktails,Jameson,53.0,20.0,Smoky,Medium,global
Cognac 1382,wine,Jack Daniel's,53.75,21.0,Rich / Fruity,High,global
Vodka 1383,spirits/cocktails,Johnnie Walker,54.5,22.0,Dry / Crisp,High,global
Aged Bourbon 1384,spirits/cocktails,Glenfiddich,55.25,23.0,Nutty / Woody,Medium,global
Bourbon 1385,spirits/cocktails,Gordon's,56.0,24.0,Sweet,High,global
Rye Whiskey 1386,spirits/cocktails,Tanqueray,56.75,25.0,Spicy,High,global
Gin 1387,spirits/cocktails,Bacardi,57.5,26.0,Citrusy / Sour,Medium,global
Gin 1388,spirits/cocktails,Patron,58.25,27.0,Herbal / Floral,High,global
Scotch 1389,spirits/cocktails,Absolut,59.0,28.0,Smoky,High,global
Cognac 1390,wine,Smirnoff,59.75,29.0,Rich / Fruity,Medium,global
Vodka 1391,spirits/cocktails,Moet & Chandon,60.5,30.0,Dry / Crisp,High,global
Aged Bourbon 1392,spirits/cocktails,La Marca,61.25,31.0,Nutty / Woody,High,global
Bourbon 1393,spirits/cocktails,Barefoot,62.0,32.0,Sweet,Medium,global
Rye Whiskey 1394,spirits/cocktails,Robert Mondavi,62.75,33.0,Spicy,High,global
Gin 1395,spirits/cocktails,Kim Crawford,63.5,34.0,Citrusy / Sour,High,global
Gin 1396,spirits/cocktails,Crown Royal,64.25,35.0,Herbal / Floral,Medium,global
Scotch 1397,spirits/cocktails,Buffalo Trace,65.0,36.0,Smoky,High,global
Cognac 1398,wine,Bulleit,65.75,37.0,Rich / Fruity,High,global
Vodka 1399,spirits/cocktails,Captain Morgan,66.5,38.0,Dry / Crisp,Medium,global
Aged Bourbon 1400,spirits/cocktails,Don Julio,67.25,39.0,Nutty / Woody,High,global
Bourbon 1401,spirits/cocktails,Jameson,68.0,5.0,Sweet,High,global
Rye Whiskey 1402,spirits/cocktails,Jack Daniel's,68.75,6.0,Spicy,Medium,global
Gin 1403,spirits/cocktails,Johnnie Walker,69.5,7.0,Citrusy / Sour,High,global
Gin 1404,spirits/cocktails,Glenfiddich,70.25,8.0,Herbal / Floral,High,global
Scotch 1405,spirits/cocktails,Gordon's,71.0,9.0,Smoky,Medium,global
Cognac 1406,wine,Tanqueray,71.75,10.0,Rich / Fruity,High,global
Vodka 1407,spirits/cocktails,Bacardi,72.5,11.0,Dry / Crisp,High,global
Aged Bourbon 1408,spirits/cocktails,Patron,73.25,12.0,Nutty / Woody,Medium,global
Bourbon 1409,spirits/cocktails,Absolut,74.0,13.0,Sweet,High,global
Rye Whiskey 1410,spirits/cocktails,Smirnoff,74.75,14.0,Spicy,High,global
Gin 1411,spirits/cocktails,Moet & Chandon,75.5,15.0,Citrusy / Sour,Medium,global
Gin 1412,spirits/cocktails,La Marca,76.25,16.0,Herbal / Floral,High,global
Scotch 1413,spirits/cocktails,Barefoot,77.0,17.0,Smoky,High,global
Cognac 1414,wine,Robert Mondavi,77.75,18.0,Rich / Fruity,Medium,global
Vodka 1415,spirits/cocktails,Kim Crawford,78.5,19.0,Dry / Crisp,High,global
Aged Bourbon 1416,spirits/cocktails,Crown Royal,79.25,20.0,Nutty / Woody,High,global
Bourbon 1417,spirits/cocktails,Buffalo Trace,80.0,21.0,Sweet,Medium,global
Rye Whiskey 1418,spirits/cocktails,Bulleit,80.75,22.0,Spicy,High,global
Gin 1419,spirits/cocktails,Captain Morgan,81.5,23.0,Citrusy / Sour,High,global
Gin 1420,spirits/cocktails,Don Julio,82.25,24.0,Herbal / Floral,Medium,global
Scotch 1421,spirits/cocktails,Jameson,83.0,25.0,Smoky,High,global
Cognac 1422,wine,Jack Daniel's,83.75,26.0,Rich / Fruity,High,global
Vodka 1423,spirits/cocktails,Johnnie Walker,84.5,27.0,Dry / Crisp,Medium,global
Aged Bourbon 1424,spirits/cocktails,Glenfiddich,85.25,28.0,Nutty / Woody,High,global
Bourbon 1425,spirits/cocktails,Gordon's,86.0,29.0,Sweet,High,global
Rye Whiskey 1426,spirits/cocktails,Tanqueray,86.75,30.0,Spicy,Medium,global
Gin 1427,spirits/cocktails,Bacardi,87.5,31.0,Citrusy / Sour,High,global
Gin 1428,spirits/cocktails,Patron,88.25,32.0,Herbal / Floral,High,global
Scotch 1429,spirits/cocktails,Absolut,89.0,33.0,Smoky,Medium,global
Cognac 1430,wine,Smirnoff,89.75,34.0,Rich / Fruity,High,global
Vodka 1431,spirits/cocktails,Moet & Chandon,90.5,35.0,Dry / Crisp,High,global
Aged Bourbon 1432,spirits/cocktails,La Marca,91.25,36.0,Nutty / Woody,Medium,global
Bourbon 1433,spirits/cocktails,Barefoot,92.0,37.0,Sweet,High,global
Rye Whiskey 1434,spirits/cocktails,Robert Mondavi,92.75,38.0,Spicy,High,global
Gin 1435,spirits/cocktails,Kim Crawford,93.5,39.0,Citrusy / Sour,Medium,global
Gin 1436,spirits/cocktails,Crown Royal,94.25,5.0,Herbal / Floral,High,global
Scotch 1437,spirits/cocktails,Buffalo Trace,95.0,6.0,Smoky,High,global
Cognac 1438,wine,Bulleit,95.75,7.0,Rich / Fruity,Medium,global
Vodka 1439,spirits/cocktails,Captain Morgan,96.5,8.0,Dry / Crisp,High,global
Aged Bourbon 1440,spirits/cocktails,Don Julio,97.25,9.0,Nutty / Woody,High,global
Bourbon 1441,spirits/cocktails,Jameson,8.0,10.0,Sweet,Medium,global
Rye Whiskey 1442,spirits/cocktails,Jack Daniel's,8.75,11.0,Spicy,High,global
Gin 1443,spirits/cocktails,Johnnie Walker,9.5,12.0,Citrusy / Sour,High,global
Gin 1444,spirits/cocktails,Glenfiddich,10.25,13.0,Herbal / Floral,Medium,global
Scotch 1445,spirits/cocktails,Gordon's,11.0,14.0,Smoky,High,global
Cognac 1446,wine,Tanqueray,11.75,15.0,Rich / Fruity,High,global
Vodka 1447,spirits/cocktails,Bacardi,12.5,16.0,Dry / Crisp,Medium,global
Aged Bourbon 1448,spirits/cocktails,Patron,13.25,17.0,Nutty / Woody,High,global
Bourbon 1449,spirits/cocktails,Absolut,14.0,18.0,Sweet,High,global
Rye Whiskey 1450,spirits/cocktails,Smirnoff,14.75,19.0,Spicy,Medium,global
Gin 1451,spirits/cocktails,Moet & Chandon,15.5,20.0,Citrusy / Sour,High,global
Gin 1452,spirits/cocktails,La Marca,16.25,21.0,Herbal / Floral,High,global
Scotch 1453,spirits/cocktails,Barefoot,17.0,22.0,Smoky,Medium,global
Cognac 1454,wine,Robert Mondavi,17.75,23.0,Rich / Fruity,High,global
Vodka 1455,spirits/cocktails,Kim Crawford,18.5,24.0,Dry / Crisp,High,global
Aged Bourbon 1456,spirits/cocktails,Crown Royal,19.25,25.0,Nutty / Woody,Medium,global
Bourbon 1457,spirits/cocktails,Buffalo Trace,20.0,26.0,Sweet,High,global
Rye Whiskey 1458,spirits/cocktails,Bulleit,20.75,27.0,Spicy,High,global
Gin 1459,spirits/cocktails,Captain Morgan,21.5,28.0,Citrusy / Sour,Medium,global
Gin 1460,spirits/cocktails,Don Julio,22.25,29.0,Herbal / Floral,High,global
Scotch 1461,spirits/cocktails,Jameson,23.0,30.0,Smoky,High,global
Cognac 1462,wine,Jack Daniel's,23.75,31.0,Rich / Fruity,Medium,global
Vodka 1463,spirits/cocktails,Johnnie Walker,24.5,32.0,Dry / Crisp,High,global
Aged Bourbon 1464,spirits/cocktails,Glenfiddich,25.25,33.0,Nutty / Woody,High,global
Bourbon 1465,spirits/cocktails,Gordon's,26.0,34.0,Sweet,Medium,global
Rye Whiskey 1466,spirits/cocktails,Tanqueray,26.75,35.0,Spicy,High,global
Gin 1467,spirits/cocktails,Bacardi,27.5,36.0,Citrusy / Sour,High,global
Gin 1468,spirits/cocktails,Patron,28.25,37.0,Herbal / Floral,Medium,global
Scotch 1469,spirits/cocktails,Absolut,29.0,38.0,Smoky,High,global
Cognac 1470,wine,Smirnoff,29.75,39.0,Rich / Fruity,High,global
Vodka 1471,spirits/cocktails,Moet & Chandon,30.5,5.0,Dry / Crisp,Medium,global
Aged Bourbon 1472,spirits/cocktails,La Marca,31.25,6.0,Nutty / Woody,High,global
Bourbon 1473,spirits/cocktails,Barefoot,32.0,7.0,Sweet,High,global
Rye Whiskey 1474,spirits/cocktails,Robert Mondavi,32.75,8.0,Spicy,Medium,global
Gin 1475,spirits/cocktails,Kim Crawford,33.5,9.0,Citrusy / Sour,High,global
Gin 1476,spirits/cocktails,Crown Royal,34.25,10.0,Herbal / Floral,High,global
Scotch 1477,spirits/cocktails,Buffalo Trace,35.0,11.0,Smoky,Medium,global
Cognac 1478,wine,Bulleit,35.75,12.0,Rich / Fruity,High,global
Vodka 1479,spirits/cocktails,Captain Morgan,36.5,13.0,Dry / Crisp,High,global
Aged Bourbon 1480,spirits/cocktails,Don Julio,37.25,14.0,Nutty / Woody,Medium,global
Bourbon 1481,spirits/cocktails,Jameson,38.0,15.0,Sweet,High,global
Rye Whiskey 1482,spirits/cocktails,Jack Daniel's,38.75,16.0,Spicy,High,global
Gin 1483,spirits/cocktails,Johnnie Walker,39.5,17.0,Citrusy / Sour,Medium,global
Gin 1484,spirits/cocktails,Glenfiddich,40.25,18.0,Herbal / Floral,High,global
Scotch 1485,spirits/cocktails,Gordon's,41.0,19.0,Smoky,High,global
Cognac 1486,wine,Tanqueray,41.75,20.0,Rich / Fruity,Medium,global
Vodka 1487,spirits/cocktails,Bacardi,42.5,21.0,Dry / Crisp,High,global
Aged Bourbon 1488,spirits/cocktails,Patron,43.25,22.0,Nutty / Woody,High,global
Bourbon 1489,spirits/cocktails,Absolut,44.0,23.0,Sweet,Medium,global
Rye Whiskey 1490,spirits/cocktails,Smirnoff,44.75,24.0,Spicy,High,global
Gin 1491,spirits/cocktails,Moet & Chandon,45.5,25.0,Citrusy / Sour,High,global
Gin 1492,spirits/cocktails,La Marca,46.25,26.0,Herbal / Floral,Medium,global
Scotch 1493,spirits/cocktails,Barefoot,47.0,27.0,Smoky,High,global
Cognac 1494,wine,Robert Mondavi,47.75,28.0,Rich / Fruity,High,global
Vodka 1495,spirits/cocktails,Kim Crawford,48.5,29.0,Dry / Crisp,Medium,global
Aged Bourbon 1496,spirits/cocktails,Crown Royal,49.25,30.0,Nutty / Woody,High,global
Bourbon 1497,spirits/cocktails,Buffalo Trace,50.0,31.0,Sweet,High,global
Rye Whiskey 1498,spirits/cocktails,Bulleit,50.75,32.0,Spicy,Medium,global
Gin 1499,spirits/cocktails,Captain Morgan,51.5,33.0,Citrusy / Sour,High,global
Gin 1500,spirits/cocktails,Don Julio,52.25,34.0,Herbal / Floral,High,global
Scotch 1501,spirits/cocktails,Jameson,53.0,35.0,Smoky,Medium,global
Cognac 1502,wine,Jack Daniel's,53.75,36.0,Rich / Fruity,High,global
Vodka 1503,spirits/cocktails,Johnnie Walker,54.5,37.0,Dry / Crisp,High,global
Aged Bourbon 1504,spirits/cocktails,Glenfiddich,55.25,38.0,Nutty / Woody,Medium,global
Bourbon 1505,spirits/cocktails,Gordon's,56.0,39.0,Sweet,High,global
Rye Whiskey 1506,spirits/cocktails,Tanqueray,56.75,5.0,Spicy,High,global
Gin 1507,spirits/cocktails,Bacardi,57.5,6.0,Citrusy / Sour,Medium,global
Gin 1508,spirits/cocktails,Patron,58.25,7.0,Herbal / Floral,High,global
Scotch 1509,spirits/cocktails,Absolut,59.0,8.0,Smoky,High,global
Cognac 1510,wine,Smirnoff,59.75,9.0,Rich / Fruity,Medium,global
